Вхідний документ (Фрагмент),Еталонне резюме (Gold Reference),Експеримент 1: Оцінка базової лінії в умовах ізольованого контексту (Очищений чат — Базова лінія),Згенероване моделлю резюме (Експеримент 1) Перший запуск самаризації ,Експеримент 2 : Аналіз детермінованості та стабільності генерації. (Повторний запуск — Тест на стабільність)
"Тест 1: Кабінет Міністрів України постановляє: Внести до Правил дорожнього руху зміну, згідно з якою поза населеними пунктами на всіх механічних транспортних засобах під час руху у світлу пору доби повинні бути ввімкнені денні ходові вогні, а в разі їх відсутності в конструкції транспортного засобу — ближнє світло фар. Ця вимога діє цілий рік, а не лише з 1 жовтня по 1 травня, як було раніше.",КМУ скасував часові обмеження щодо увімкнення денних ходових вогнів... Відтепер ця вимога діє цілий рік для всіх транспортних засобів.,"Постанова КМУ дозволяє використовувати ближнє світло фар на автомобілях поза періодом осінньо-зимової навколишньої темноти, якщо денні ходові вогні відсутні або непрацездатні.",Поза населених пунктів денні ходові вогні або ближнє світло фар обов'язково для увімкнення на всьому транспорті під час руху.,"Поза населених пунктів денні ходові вогні або ближнє світло фар обов'язково мають бути включені на всіх транспортних засобах під час руху у світлу пору доби. Це правило діє цілий рік, а не лише в період з 1 жовтня по 1 травня."
"Тест 2: Споживач має право обміняти непродовольчий товар належної якості на аналогічний у продавця, в якого він був придбаний, якщо товар не задовольнив його за формою, габаритами, фасоном, кольором, розміром або з інших причин не може бути ним використаний за призначенням. Споживач має право на обмін товару належної якості протягом чотирнадцяти днів, не рахуючи дня купівлі, якщо триваліший строк не оголошений продавцем. Обмін товару належної якості провадиться, якщо він не використовувався і якщо збережено його товарний вигляд, споживчі властивості, пломби, ярлики, а також розрахунковий документ.","Споживач має право обміняти непродовольчий товар належної якості протягом 14 днів з моменту покупки (не рахуючи день купівлі). Обов'язковими умовами для обміну є збереження товарного вигляду, пломб, ярликів та наявність розрахункового документа, а також факт невикористання товару.","Користувач має право обміняти непридатний товар належної якості на той же товар у продавця протягом 14 днів після купівлі, якщо товар не відповідає вимогам безпеки або користування. Обмін здійснюється лише при поверненні товару у первинній упаковці та збереженні його споживчих властивостей.","Споживач має право обміняти непридатний товар належної якості на аналогічний протягом 14 днів після купівлі, якщо це не визначено довшою строком продавцем. Обмін здійснюється лише у тому магазині, де було придбано товари.","Споживач має право обміняти непридатний товар належної якості на аналогічний протягом 14 днів після купівлі, якщо це не визначено довшою строком продавцем. Обмін здійснюється лише у тому магазині, де було придбано товари."
"Тест 3: Таємне викрадення чужого майна (крадіжка) — карається штрафом від однієї тисячі до трьох тисяч неоподатковуваних мінімумів доходів громадян або громадськими роботами на строк від вісімдесяти до двохсот сорока годин, або виправними роботами на строк до двох років, або арештом на строк до шести місяців, або обмеженням волі на строк до п'яти років. Крадіжка, вчинена повторно або за попередньою змовою групою осіб, — карається арештом на строк від трьох до шести місяців або обмеженням волі на строк до п'яти років або позбавленням волі на той самий строк.","Крадіжка (таємне викрадення чужого майна) карається штрафом, громадськими або виправними роботами, арештом до 6 місяців або обмеженням волі до 5 років. При повторному вчиненні або вчиненні групою осіб покарання посилюється до позбавлення волі строком до 5 років.","За викрадення (крадіжку) майна карається штраф, арешт або позбавлення волі на строк до двох років. За повторне чи групове крадіжтво — позбавлення волі на строк від трьох місяців до двох років.","За викрадення чужого майна можуть застосувати штраф, громадські роботи, виправні роботи або арешт. За повторне чи групове викрадення — позбавлення волі.","За викрадення чужого майна можуть застосувати штраф, громадські роботи, виправні роботи або арешт. За повторне чи групове викрадення — позбавлення волі."
"Tect 4: Щорічна основна відпустка надається працівникам тривалістю не менш як 24 календарних дні за відпрацьований робочий рік, який відлічується з дня укладення трудового договору. У період дії воєнного стану роботодавець може обмежити тривалість щорічної основної відпустки працівника 24 календарними днями за поточний робочий рік.",Мінімальна тривалість щорічної основної відпустки становить 24 дні за відпрацьований рік. Під час дії воєнного стану роботодавець має законне право обмежити загальну тривалість відпустки саме цим строком.,"Щорічна основна відпустка утримує мінімальну тривалість 24 дні, але під час воєнного стану це обмеження може бути скасоване.",За відпрацювання робочого року працівник має право на щорічну відпустку тривалістю не менше 24 днів. У воєнний час тривалість відпустки може бути обмежена наполовину,За відпрацювання робочого року працівник має право на щорічну відпустку тривалістю не менше 24 днів. У воєнний час тривалість відпустки може бути обмежена національним законодавством.
"Тест 5: Податкова знижка для фізичних осіб, які не є суб'єктами господарювання, — це документально підтверджена сума (вартість) витрат платника податку - резидента у зв'язку з придбанням товарів (робіт, послуг) у резидентів - фізичних або юридичних осіб протягом звітного року, на яку дозволяється зменшення його загального річного оподатковуваного доходу, одержаного за наслідками такого звітного року у вигляді заробітної плати.","Податкова знижка дозволяє фізичним особам-резидентам зменшити свій річний оподатковуваний дохід (заробітну плату) на суму документально підтверджених витрат на товари та послуги, придбані у резидентів протягом звітного року.","Податкова знижка дозволяє зменшити оподаткування заробітної плати для резидентів-громадян, що придбали товари або послуги у резидентів-підприємців протягом звітного року.",Податкова знижка для фізичних осіб - резидентів дозволяє зменшити оподатковуваний дохід за рахунок витрат на придбання товарів або послуг у резидентів.,"Податкова знижка для громадян — це сума витрат на придбання товарів або послуг у резидентів, яка зменшує податковий наклад на дохід заробітної плати."
"Тест 6: Аліменти на дитину присуджуються за рішенням суду від частки доходу її матері, батька або у твердій грошовій сумі за вибором того з батьків або інших законних представників дитини, разом з яким проживає дитина. Мінімальний гарантований розмір аліментів на одну дитину не може бути меншим, ніж 50 відсотків прожиткового мінімуму для дитини відповідного віку.","Аліменти призначаються судом як частка від доходу або у фіксованій сумі за вибором опікуна, з яким проживає дитина. Їх мінімальний розмір гарантовано становить щонайменше 50% прожиткового мінімуму для дитини відповідного віку.","За рішенням суду, батьки або інші законні представники дітей платять аліменти, що становить не менше 50% прожиткового мінімуму для кожної дитини.","Аліменти на дітей присуджуються за рішенням суду з частини доходу батька або матері, а також інших законних представників. Мінімальний розмір аліментів визначається прожитковим мінімумом для дітей.","Аліменти на дитину присуджуються за рішенням суду з урахуванням доходу батька та потреб дитини. Мінімальний розмір аліментів визначено законом і не може бути меншим, ніж 50% від прожиткового мінімуму для дітей."
"Тест 7: Електронний договір укладається шляхом пропозиції його укласти (оферти) однією стороною та її прийняття (акцепту) другою стороною. Електронний договір вважається укладеним з моменту одержання особою, яка направила пропозицію укласти такий договір, відповіді про прийняття цієї пропозиції в порядку, визначеному частиною шостою цієї статті.","Електронний договір укладається через процедуру оферти та акцепту. Юридично він вважається укладеним і набуває чинності з моменту, коли ініціатор отримує підтвердження про прийняття його пропозиції іншою стороною.","Електронний договір укладається з моменту прийняття стороною, на якій була зроблена пропозиція, відповіді на цю пропозию в порядку, визначеному законом.","Електронний договір укладається за згодою двох сторін, яка може бути виражена відповіддю на пропозицію (оферту). Договір вважається укладеним з моменту прийняття пропозиції.",Електронний договір укладається шляхом направлення пропозиції (оферти) однією стороною та її прийняття (акцепту) другою стороною. Договір вважається укладеним з моменту отримання відповіді на пропозицію.
"Тест 8: Не підлягають призову на військову службу під час мобілізації військовозобов’язані: заброньовані на період мобілізації та на воєнний час за органами державної влади, іншими державними органами, органами місцевого самоврядування, а також за підприємствами, установами і організаціями в порядку, встановленому Кабінетом Міністрів України.","Військовозобов'язані, які офіційно заброньовані державними органами, органами місцевого самоврядування або визначеними підприємствами відповідно до порядку КМУ, звільняються від призову під час мобілізації.",Заброньовані особи не підлягають призову на військову службу під час мобілізації.,"Заброньовані на період мобілізації військовозобов'язані не підлягають призову на службу. До бронування можуть бути залучені державні установи, підприємства та організації.","Заброньовані військовозобов'язані не підлягають призову на військову службу під час мобілізації. Це підприємства, установи та організації, що важливі для забезпечення обороноздатності та життєдіяльності населення."
"Тест 9: Мовою освітнього процесу в закладах освіти є державна мова. Держава гарантує кожному громадянинові України право на здобуття формальної освіти на всіх рівнях (дошкільної, загальної середньої, професійної (професійно-технічної), фахової передвищої та вищої), а також позашкільної та післядипломної освіти державною мовою в державних і комунальних закладах освіти.",Державною мовою (українською) здійснюється весь освітній процес в Україні. Держава гарантує громадянам безперешкодне право здобувати освіту будь-якого рівня державною мовою у всіх державних та комунальних закладах.,Верховна рада Постановою № 3281-IX від 05.06.2022 гарантує навчання українською мовою в усіх закладах освіти незалежно від власника.,Мовою навчання у закладах освіти є державна мова. Кожному громадянинові гарантується право на здобуття освіти державною мовою в державних та комунальних закладах.,Державна мова є офіційною мовою навчання в українських закладах освіти на будь-якому рівні. Кожному громадянинові гарантується право на здобуття освіти державною мовою в державних та комунальних закладах.
"Тест 10: Договір найму будівлі або іншої капітальної споруди (їх окремої частини) укладається у письмовій формі. Договір найму будівлі або іншої капітальної споруди (їх окремої частини) строком на три роки і більше підлягає нотаріальному посвідченню, крім договору, предметом якого є майно державної або комунальної власності, який підлягає нотаріальному посвідченню у разі, якщо він укладений за результатами електронного аукціону строком більше ніж на п’ять років.",Договір оренди будівлі завжди укладається письмово. Обов'язковому нотаріальному посвідченню підлягають договори зі строком оренди від 3 років (для державного чи комунального майна на аукціоні — зі строком понад 5 років),"Договіри найму будівель або іншої капітальної споруди підлягають нотаріальному посвідченню та максимальному строку дії три роки, крім випадків державного чи комунального майна, що передається довгостроковою орендою.","Договір найму будівлі або іншої капітальної споруди укладається письмово та підлягає нотаріальному посвідченню, якщо строк дії договору більше трьох років. Державне майно підлягає нотаріальному посвідченню незалежно від тривалості договору.","Договір найму будівлі або іншої капітальної споруди укладається письмово та підлягає нотаріальному посвідченню, якщо строк дії договору більше трьох років. Договір майнових відносин з державною або комунальною власністю також може підлягати нотаріальному посвідченню."
